jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|EMP_NO:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|IN_OUT_STATUS:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=IN_OUT_STATUS,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=IN_OUT_STATUS, 
1011,  1534,  completed,  eof,  2017-01-16 19:14:27,  2017-01-16 19:14:28,  1,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|EMP_NO:n_272.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1,  None,  None,  0.05005,  11,  14,  272,  3,  None,  275,  None,  0.05015,  0,  0, 
1011,  1545,  completed,  eof,  2017-01-16 19:14:27,  2017-01-16 19:14:28,  1,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|IN_OUT_STATUS:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1,  None,  None,  0.05005,  11,  14,  None,  3,  272,  275,  None,  0.05015,  0,  0, 
1011,  1546,  completed,  eof,  2017-01-16 19:14:28,  2017-01-16 19:14:29,  1,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_3.5.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1,  None,  3.5,  0.05005,  11,  14,  None,  3,  None,  275,  None,  0.05015,  0,  0, 
1011,  1547,  completed,  eof,  2017-01-16 19:14:28,  2017-01-16 19:14:29,  1,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius_6.25.modelParams|spParams|synPermInactiveDec_0.05015,  1,  None,  None,  0.05005,  11,  14,  None,  3,  None,  275,  6.25,  0.05015,  0,  0, 
1011,  1548,  completed,  eof,  2017-01-16 19:14:29,  2017-01-16 19:14:29,  0,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1,  1,  None,  0.05005,  11,  14,  None,  3,  None,  275,  None,  0.05015,  0,  0, 
1011,  1549,  completed,  eof,  2017-01-16 19:14:29,  2017-01-16 19:14:30,  1,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|EMP_NO:n_22.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1,  None,  None,  0.0001,  9,  12,  22,  1,  None,  28,  None,  0.1,  0,  0, 
1011,  1550,  completed,  eof,  2017-01-16 19:14:29,  2017-01-16 19:14:30,  1,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|IN_OUT_STATUS:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1,  None,  None,  0.0001,  9,  12,  None,  1,  22,  28,  None,  0.1,  0,  0, 
1011,  1551,  completed,  eof,  2017-01-16 19:14:30,  2017-01-16 19:14:31,  1,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_dayOfWeek:radius_1.0.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1,  None,  1.0,  0.0001,  9,  12,  None,  1,  None,  28,  None,  0.1,  0,  0, 
1011,  1552,  completed,  eof,  2017-01-16 19:14:30,  2017-01-16 19:14:31,  1,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|sensorParams|encoders|TIME_OF_SWIPE_timeOfDay:radius_0.5.modelParams|spParams|synPermInactiveDec_0.1,  1,  None,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.5,  0.1,  0,  0, 
1011,  1553,  completed,  eof,  2017-01-16 19:14:31,  2017-01-16 19:14:32,  1,  modelParams|sensorParams|encoders|TIME_OF_SWIPE_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  None,  0.1,  0,  0, 
